# time[~Gyr] x y z[kpc] vx vy vz[km/s]
-5 -3.72102 265.115 215.783 12.1491 57.6265 -23.3322
-4.99219 -3.62609 265.564 215.6 12.1515 57.366 -23.5375
-4.98438 -3.53115 266.011 215.415 12.1538 57.1056 -23.7422
-4.97656 -3.43619 266.456 215.229 12.156 56.8452 -23.9467
-4.96875 -3.34121 266.899 215.041 12.1583 56.5848 -24.1511
-4.96094 -3.24622 267.34 214.851 12.1604 56.3244 -24.3551
-4.95312 -3.15121 267.779 214.66 12.1624 56.0642 -24.5582
-4.94531 -3.05618 268.216 214.468 12.1643 55.804 -24.7606
-4.9375 -2.96114 268.651 214.273 12.1661 55.5439 -24.9624
-4.92969 -2.86609 269.084 214.078 12.1677 55.2839 -25.1637
-4.92188 -2.77102 269.515 213.88 12.1693 55.0239 -25.3644
-4.91406 -2.67594 269.944 213.681 12.1708 54.764 -25.5647
-4.90625 -2.58085 270.371 213.481 12.1722 54.5041 -25.7644
-4.89844 -2.48575 270.795 213.279 12.1735 54.2443 -25.9636
-4.89062 -2.39064 271.218 213.075 12.1747 53.9845 -26.1623
-4.88281 -2.29552 271.639 212.87 12.1758 53.7247 -26.3605
-4.875 -2.20039 272.058 212.663 12.1768 53.465 -26.5581
-4.86719 -2.10526 272.474 212.455 12.1777 53.2054 -26.7552
-4.85938 -2.01012 272.889 212.245 12.1785 52.9458 -26.9518
-4.85156 -1.91497 273.302 212.034 12.1793 52.6862 -27.148
-4.84375 -1.81982 273.712 211.821 12.1799 52.4267 -27.3436
-4.83594 -1.72466 274.121 211.607 12.1804 52.1672 -27.5388
-4.82812 -1.6295 274.527 211.391 12.1809 51.9077 -27.7334
-4.82031 -1.53433 274.932 211.173 12.1812 51.6482 -27.9276
-4.8125 -1.43917 275.334 210.954 12.1815 51.3888 -28.1213
-4.80469 -1.344 275.735 210.734 12.1817 51.1294 -28.3145
-4.79688 -1.24883 276.133 210.512 12.1818 50.87 -28.5072
-4.78906 -1.15366 276.53 210.288 12.1818 50.6106 -28.6995
-4.78125 -1.05849 276.924 210.064 12.1817 50.3512 -28.8913
-4.77344 -0.963319 277.316 209.837 12.1815 50.0919 -29.0826
-4.76562 -0.868152 277.707 209.609 12.1812 49.8325 -29.2735
-4.75781 -0.772988 278.095 209.38 12.1809 49.5732 -29.4639
-4.75 -0.677827 278.481 209.149 12.1804 49.3139 -29.6538
-4.74219 -0.582669 278.865 208.916 12.1799 49.0546 -29.8433
-4.73438 -0.487517 279.248 208.682 12.1792 48.7952 -30.0323
-4.72656 -0.392369 279.628 208.447 12.1785 48.5359 -30.2209
-4.71875 -0.297228 280.006 208.21 12.1777 48.2766 -30.409
-4.71094 -0.202093 280.382 207.972 12.1768 48.0173 -30.5967
-4.70312 -0.106965 280.756 207.732 12.1758 47.758 -30.7839
-4.69531 -0.0118455 281.128 207.491 12.1748 47.4987 -30.9707
-4.6875 0.0832654 281.499 207.248 12.1736 47.2393 -31.157
-4.67969 0.178367 281.867 207.004 12.1724 46.98 -31.3429
-4.67188 0.273458 282.233 206.759 12.171 46.7206 -31.5284
-4.66406 0.368539 282.597 206.511 12.1696 46.4612 -31.7134
-4.65625 0.463608 282.959 206.263 12.1681 46.2019 -31.898
-4.64844 0.558666 283.318 206.013 12.1665 45.9424 -32.0822
-4.64062 0.65371 283.676 205.762 12.1649 45.683 -32.2659
-4.63281 0.748741 284.032 205.509 12.1631 45.4236 -32.4492
-4.625 0.843758 284.386 205.255 12.1613 45.1641 -32.6321
-4.61719 0.938761 284.738 204.999 12.1593 44.9046 -32.8146
-4.60938 1.03375 285.088 204.742 12.1573 44.645 -32.9967
-4.60156 1.12872 285.436 204.483 12.1552 44.3855 -33.1783
-4.59375 1.22367 285.781 204.224 12.153 44.1259 -33.3595
-4.58594 1.31861 286.125 203.962 12.1507 43.8662 -33.5403
-4.57812 1.41353 286.467 203.699 12.1484 43.6065 -33.7208
-4.57031 1.50843 286.806 203.435 12.1459 43.3468 -33.9008
-4.5625 1.60331 287.144 203.17 12.1434 43.0871 -34.0804
-4.55469 1.69817 287.48 202.903 12.1408 42.8273 -34.2595
-4.54688 1.79301 287.813 202.634 12.1381 42.5674 -34.4383
-4.53906 1.88783 288.145 202.365 12.1353 42.3075 -34.6167
-4.53125 1.98262 288.474 202.094 12.1325 42.0476 -34.7947
-4.52344 2.0774 288.802 201.821 12.1295 41.7876 -34.9723
