# time[~Gyr] ax ay az[(km/s)^2/kpc]
-5 -0.0783564 -1.21699 -0.476095
-4.99219 -0.0786387 -1.21753 -0.475462
-4.98438 -0.078927 -1.21823 -0.474904
-4.97656 -0.0791261 -1.21881 -0.474741
-4.96875 -0.0791348 -1.21919 -0.475445
-4.96094 -0.0791089 -1.21955 -0.476325
-4.95312 -0.0793655 -1.22026 -0.475921
-4.94531 -0.0798406 -1.22117 -0.474481
-4.9375 -0.0803071 -1.2221 -0.473099
-4.92969 -0.0806281 -1.22294 -0.472428
-4.92188 -0.0809073 -1.2237 -0.471918
-4.91406 -0.0811801 -1.22437 -0.471372
-4.90625 -0.0814552 -1.22508 -0.470839
-4.89844 -0.0817366 -1.2259 -0.470342
-4.89062 -0.0820152 -1.22668 -0.469833
-4.88281 -0.0822984 -1.22754 -0.469348
-4.875 -0.0825642 -1.22816 -0.46877
-4.86719 -0.082831 -1.2288 -0.468196
-4.85938 -0.083117 -1.22972 -0.467728
-4.85156 -0.0833902 -1.23048 -0.467194
-4.84375 -0.0836588 -1.23117 -0.466635
-4.83594 -0.0839301 -1.23191 -0.466089
-4.82812 -0.084204 -1.23269 -0.465558
-4.82031 -0.0844814 -1.23354 -0.465049
-4.8125 -0.0847589 -1.2344 -0.464541
-4.80469 -0.0850338 -1.23522 -0.464016
-4.79688 -0.0853085 -1.23605 -0.463491
-4.78906 -0.0855841 -1.23691 -0.462973
-4.78125 -0.0858598 -1.23777 -0.462454
-4.77344 -0.0861348 -1.23863 -0.461931
-4.76562 -0.0864095 -1.23949 -0.461406
-4.75781 -0.086684 -1.24036 -0.460882
-4.75 -0.0869584 -1.24124 -0.460357
-4.74219 -0.087233 -1.24212 -0.459831
-4.73438 -0.0875075 -1.24301 -0.459304
-4.72656 -0.0877816 -1.24391 -0.458778
-4.71875 -0.088056 -1.24481 -0.458251
-4.71094 -0.0883306 -1.24572 -0.457723
-4.70312 -0.0886049 -1.24664 -0.457194
-4.69531 -0.088879 -1.24756 -0.456666
-4.6875 -0.0891531 -1.24849 -0.456137
-4.67969 -0.0894274 -1.24943 -0.455608
-4.67188 -0.0897016 -1.25038 -0.455077
-4.66406 -0.089976 -1.25133 -0.454545
-4.65625 -0.0902504 -1.25229 -0.454013
-4.64844 -0.0905247 -1.25325 -0.45348
-4.64062 -0.0907991 -1.25423 -0.452947
-4.63281 -0.0910736 -1.25521 -0.452412
-4.625 -0.0913483 -1.2562 -0.451877
-4.61719 -0.0916229 -1.25719 -0.45134
-4.60938 -0.0918975 -1.2582 -0.450804
-4.60156 -0.0921723 -1.25921 -0.450266
-4.59375 -0.0924471 -1.26022 -0.449727
-4.58594 -0.092722 -1.26125 -0.449187
-4.57812 -0.092997 -1.26228 -0.448647
-4.57031 -0.0932721 -1.26332 -0.448105
-4.5625 -0.0935474 -1.26436 -0.447563
-4.55469 -0.0938227 -1.26542 -0.447019
-4.54688 -0.0940982 -1.26648 -0.446475
-4.53906 -0.0943738 -1.26755 -0.445929
-4.53125 -0.0946495 -1.26862 -0.445382
-4.52344 -0.0949254 -1.2697 -0.444835
-4.51562 -0.0952015 -1.27079 -0.444286
-4.50781 -0.0954777 -1.27189 -0.443736
-4.5 -0.0957541 -1.273 -0.443184
-4.49219 -0.0960306 -1.27411 -0.442632
-4.48438 -0.0963074 -1.27523 -0.442078
-4.47656 -0.0965843 -1.27636 -0.441524
-4.46875 -0.0968615 -1.2775 -0.440967
-4.46094 -0.0971389 -1.27864 -0.44041
-4.45312 -0.0974165 -1.27979 -0.439851
-4.44531 -0.0976943 -1.28095 -0.439291
-4.4375 -0.0979723 -1.28212 -0.43873
-4.42969 -0.0982506 -1.28329 -0.438167
-4.42188 -0.0985292 -1.28447 -0.437603
-4.41406 -0.098808 -1.28566 -0.437037
-4.40625 -0.0990871 -1.28686 -0.43647
-4.39844 -0.0993664 -1.28807 -0.435902
-4.39062 -0.0996461 -1.28928 -0.435332
-4.38281 -0.099926 -1.2905 -0.434761
-4.375 -0.100206 -1.29173 -0.434188
-4.36719 -0.100487 -1.29297 -0.433613
-4.35938 -0.100768 -1.29422 -0.433037
-4.35156 -0.101049 -1.29547 -0.432459
-4.34375 -0.10133 -1.29673 -0.43188
-4.33594 -0.101612 -1.298 -0.431299
-4.32812 -0.101895 -1.29928 -0.430716
-4.32031 -0.102177 -1.30057 -0.430132
-4.3125 -0.10246 -1.30186 -0.429546
-4.30469 -0.102744 -1.30317 -0.428958
-4.29688 -0.103027 -1.30448 -0.428369
-4.28906 -0.103311 -1.3058 -0.427777
-4.28125 -0.103596 -1.30713 -0.427184
-4.27344 -0.103881 -1.30846 -0.426589
-4.26562 -0.104166 -1.30981 -0.425992
-4.25781 -0.104452 -1.31116 -0.425394
-4.25 -0.104739 -1.31253 -0.424793
-4.24219 -0.105025 -1.3139 -0.42419
-4.23438 -0.105313 -1.31528 -0.423586
-4.22656 -0.1056 -1.31666 -0.42298
-4.21875 -0.105888 -1.31806 -0.422371
-4.21094 -0.106177 -1.31947 -0.421761
-4.20312 -0.106466 -1.32088 -0.421148
-4.19531 -0.106756 -1.32231 -0.420534
-4.1875 -0.107046 -1.32374 -0.419917
-4.17969 -0.107337 -1.32518 -0.419298
-4.17188 -0.107628 -1.32663 -0.418678
-4.16406 -0.10792 -1.32809 -0.418054
-4.15625 -0.108213 -1.32956 -0.417429
-4.14844 -0.108506 -1.33103 -0.416802
-4.14062 -0.1088 -1.33252 -0.416172
-4.13281 -0.109094 -1.33402 -0.41554
-4.125 -0.109389 -1.33552 -0.414906
-4.11719 -0.109684 -1.33704 -0.41427
-4.10938 -0.10998 -1.33856 -0.413631
-4.10156 -0.110277 -1.34009 -0.41299
-4.09375 -0.110574 -1.34164 -0.412346
-4.08594 -0.110872 -1.34319 -0.4117
-4.07812 -0.111171 -1.34475 -0.411052
-4.07031 -0.111471 -1.34632 -0.410401
-4.0625 -0.111771 -1.3479 -0.409748
-4.05469 -0.112072 -1.34949 -0.409092
-4.04688 -0.112373 -1.35109 -0.408434
-4.03906 -0.112676 -1.3527 -0.407773
-4.03125 -0.112979 -1.35432 -0.40711
-4.02344 -0.113282 -1.35595 -0.406444
-4.01562 -0.113587 -1.35759 -0.405775
-4.00781 -0.113892 -1.35924 -0.405104
-4 -0.114199 -1.3609 -0.40443
-3.99219 -0.114506 -1.36257 -0.403753
-3.98438 -0.114813 -1.36425 -0.403074
-3.97656 -0.115122 -1.36594 -0.402391
-3.96875 -0.115432 -1.36764 -0.401706
-3.96094 -0.115742 -1.36935 -0.401019
-3.95312 -0.116053 -1.37107 -0.400328
-3.94531 -0.116365 -1.3728 -0.399635
-3.9375 -0.116678 -1.37455 -0.398938
-3.92969 -0.116992 -1.3763 -0.398239
-3.92188 -0.117307 -1.37806 -0.397537
-3.91406 -0.117623 -1.37984 -0.396831
-3.90625 -0.11794 -1.38162 -0.396123
-3.89844 -0.118257 -1.38342 -0.395412
-3.89062 -0.118576 -1.38523 -0.394698
-3.88281 -0.118896 -1.38704 -0.39398
-3.875 -0.119217 -1.38887 -0.39326
-3.86719 -0.119538 -1.39071 -0.392536
-3.85938 -0.119861 -1.39256 -0.391809
-3.85156 -0.120185 -1.39442 -0.391079
-3.84375 -0.12051 -1.3963 -0.390346
-3.83594 -0.120836 -1.39818 -0.38961
-3.82812 -0.121163 -1.40008 -0.38887
-3.82031 -0.121491 -1.40199 -0.388127
-3.8125 -0.12182 -1.40391 -0.38738
-3.80469 -0.122151 -1.40584 -0.386631
-3.79688 -0.122483 -1.40778 -0.385877
-3.78906 -0.122815 -1.40973 -0.385121
-3.78125 -0.123149 -1.4117 -0.384361
-3.77344 -0.123485 -1.41368 -0.383597
-3.76562 -0.123821 -1.41567 -0.38283
