# time[Gyr] ax ay az[(km/s)^2/kpc]
-5 -0.168958 -3.40661 -2.20686
-4.99219 -0.169009 -3.40924 -2.20498
-4.98438 -0.168842 -3.41154 -2.20443
-4.97656 -0.168816 -3.41429 -2.20328
-4.96875 -0.168212 -3.41524 -2.20473
-4.96094 -0.166927 -3.4141 -2.20925
-4.95312 -0.166676 -3.41623 -2.20924
-4.94531 -0.1672 -3.42063 -2.20565
-4.9375 -0.167897 -3.42557 -2.20131
-4.92969 -0.168159 -3.42934 -2.19911
-4.92188 -0.16819 -3.43238 -2.19793
-4.91406 -0.168212 -3.43518 -2.1966
-4.90625 -0.16824 -3.438 -2.19526
-4.89844 -0.168289 -3.44111 -2.19408
-4.89062 -0.168342 -3.44424 -2.19288
-4.88281 -0.16842 -3.44769 -2.19186
-4.875 -0.168444 -3.45017 -2.19028
-4.86719 -0.168471 -3.45264 -2.18866
-4.85938 -0.168569 -3.45623 -2.18766
-4.85156 -0.168642 -3.45932 -2.18637
-4.84375 -0.168703 -3.46216 -2.18493
-4.83594 -0.168775 -3.46509 -2.18351
-4.82812 -0.168859 -3.46816 -2.18216
-4.82031 -0.168957 -3.47139 -2.18088
-4.8125 -0.169063 -3.47469 -2.17964
-4.80469 -0.169169 -3.47792 -2.17832
-4.79688 -0.169279 -3.48114 -2.17699
-4.78906 -0.169397 -3.48442 -2.17567
-4.78125 -0.169522 -3.48774 -2.17436
-4.77344 -0.169651 -3.49105 -2.17303
-4.76562 -0.169784 -3.49437 -2.17168
-4.75781 -0.169923 -3.49771 -2.17033
-4.75 -0.170068 -3.50108 -2.16898
-4.74219 -0.170219 -3.50446 -2.16762
-4.73438 -0.170375 -3.50787 -2.16625
-4.72656 -0.170537 -3.5113 -2.16488
-4.71875 -0.170704 -3.51475 -2.1635
-4.71094 -0.170879 -3.51822 -2.16211
-4.70312 -0.171058 -3.52171 -2.16072
-4.69531 -0.171243 -3.52523 -2.15933
-4.6875 -0.171433 -3.52876 -2.15793
-4.67969 -0.17163 -3.53232 -2.15652
-4.67188 -0.171833 -3.5359 -2.15511
-4.66406 -0.172041 -3.53951 -2.15369
-4.65625 -0.172256 -3.54314 -2.15226
-4.64844 -0.172476 -3.54679 -2.15083
-4.64062 -0.172703 -3.55046 -2.14939
-4.63281 -0.172935 -3.55415 -2.14795
-4.625 -0.173174 -3.55787 -2.1465
-4.61719 -0.173418 -3.56161 -2.14504
-4.60938 -0.173669 -3.56538 -2.14357
-4.60156 -0.173925 -3.56916 -2.1421
-4.59375 -0.174188 -3.57297 -2.14063
-4.58594 -0.174457 -3.57681 -2.13914
-4.57812 -0.174732 -3.58066 -2.13765
-4.57031 -0.175013 -3.58454 -2.13615
-4.5625 -0.1753 -3.58845 -2.13465
-4.55469 -0.175593 -3.59238 -2.13313
-4.54688 -0.175893 -3.59633 -2.13162
-4.53906 -0.176199 -3.6003 -2.13009
-4.53125 -0.176511 -3.6043 -2.12856
-4.52344 -0.176829 -3.60833 -2.12702
-4.51562 -0.177154 -3.61237 -2.12547
-4.50781 -0.177485 -3.61645 -2.12391
-4.5 -0.177822 -3.62054 -2.12235
-4.49219 -0.178166 -3.62466 -2.12078
-4.48438 -0.178516 -3.62881 -2.1192
-4.47656 -0.178872 -3.63298 -2.11762
-4.46875 -0.179235 -3.63718 -2.11602
-4.46094 -0.179604 -3.6414 -2.11442
-4.45312 -0.17998 -3.64564 -2.11281
-4.44531 -0.180362 -3.64991 -2.1112
-4.4375 -0.180751 -3.65421 -2.10957
-4.42969 -0.181147 -3.65853 -2.10794
-4.42188 -0.181549 -3.66288 -2.1063
-4.41406 -0.181957 -3.66725 -2.10465
-4.40625 -0.182372 -3.67165 -2.10299
-4.39844 -0.182794 -3.67608 -2.10133
-4.39062 -0.183223 -3.68053 -2.09966
-4.38281 -0.183658 -3.685 -2.09797
-4.375 -0.1841 -3.68951 -2.09628
-4.36719 -0.184548 -3.69404 -2.09459
-4.35938 -0.185004 -3.69859 -2.09288
-4.35156 -0.185466 -3.70318 -2.09116
-4.34375 -0.185935 -3.70779 -2.08944
-4.33594 -0.18641 -3.71242 -2.08771
-4.32812 -0.186893 -3.71709 -2.08597
-4.32031 -0.187383 -3.72178 -2.08422
-4.3125 -0.187879 -3.7265 -2.08246
-4.30469 -0.188383 -3.73125 -2.08069
-4.29688 -0.188893 -3.73602 -2.07891
-4.28906 -0.18941 -3.74082 -2.07713
-4.28125 -0.189935 -3.74565 -2.07533
-4.27344 -0.190466 -3.75051 -2.07353
-4.26562 -0.191005 -3.7554 -2.07171
-4.25781 -0.191551 -3.76031 -2.06989
-4.25 -0.192103 -3.76525 -2.06806
-4.24219 -0.192663 -3.77023 -2.06622
-4.23438 -0.19323 -3.77523 -2.06437
-4.22656 -0.193805 -3.78026 -2.06251
-4.21875 -0.194386 -3.78532 -2.06064
-4.21094 -0.194975 -3.7904 -2.05876
-4.20312 -0.195571 -3.79552 -2.05687
-4.19531 -0.196175 -3.80067 -2.05497
-4.1875 -0.196785 -3.80585 -2.05306
-4.17969 -0.197404 -3.81105 -2.05114
-4.17188 -0.198029 -3.81629 -2.04921
-4.16406 -0.198662 -3.82156 -2.04728
-4.15625 -0.199303 -3.82686 -2.04533
-4.14844 -0.199951 -3.83218 -2.04337
-4.14062 -0.200606 -3.83754 -2.0414
-4.13281 -0.201269 -3.84293 -2.03942
-4.125 -0.20194 -3.84836 -2.03743
-4.11719 -0.202618 -3.85381 -2.03543
-4.10938 -0.203304 -3.85929 -2.03342
-4.10156 -0.203998 -3.86481 -2.0314
-4.09375 -0.204699 -3.87035 -2.02937
-4.08594 -0.205408 -3.87593 -2.02733
-4.07812 -0.206125 -3.88155 -2.02527
-4.07031 -0.20685 -3.88719 -2.02321
-4.0625 -0.207583 -3.89287 -2.02114
-4.05469 -0.208323 -3.89858 -2.01905
-4.04688 -0.209071 -3.90432 -2.01696
-4.03906 -0.209828 -3.91009 -2.01485
-4.03125 -0.210592 -3.9159 -2.01273
-4.02344 -0.211364 -3.92174 -2.0106
-4.01562 -0.212144 -3.92762 -2.00846
-4.00781 -0.212933 -3.93353 -2.00631
-4 -0.213729 -3.93947 -2.00415
-3.99219 -0.214534 -3.94545 -2.00198
-3.98438 -0.215347 -3.95147 -1.99979
-3.97656 -0.216168 -3.95751 -1.9976
-3.96875 -0.216997 -3.9636 -1.99539
-3.96094 -0.217835 -3.96971 -1.99317
-3.95312 -0.218681 -3.97587 -1.99094
-3.94531 -0.219535 -3.98205 -1.98869
-3.9375 -0.220398 -3.98828 -1.98644
-3.92969 -0.221269 -3.99454 -1.98417
-3.92188 -0.222149 -4.00084 -1.98189
