# time[~Gyr] x y z[kpc] vx vy vz[km/s]
-5 17.2937 333.742 216.968 7.36316 23.4326 -38.2307
-4.99219 17.3512 333.925 216.669 7.35337 23.2506 -38.3451
-4.98438 17.4086 334.105 216.369 7.34355 23.0686 -38.4593
-4.97656 17.466 334.285 216.068 7.33371 22.8865 -38.5734
-4.96875 17.5232 334.463 215.766 7.32383 22.7043 -38.6873
-4.96094 17.5804 334.64 215.463 7.31396 22.522 -38.8013
-4.95312 17.6375 334.815 215.16 7.30413 22.3399 -38.9155
-4.94531 17.6945 334.989 214.855 7.29429 22.1577 -39.0297
-4.9375 17.7515 335.161 214.55 7.28439 21.9753 -39.1435
-4.92969 17.8083 335.332 214.243 7.27442 21.7928 -39.2571
-4.92188 17.8651 335.502 213.936 7.26441 21.6101 -39.3705
-4.91406 17.9218 335.67 213.628 7.25437 21.4272 -39.4838
-4.90625 17.9785 335.837 213.319 7.2443 21.2443 -39.5969
-4.89844 18.035 336.002 213.01 7.2342 21.0613 -39.7099
-4.89062 18.0915 336.166 212.699 7.22407 20.8782 -39.8228
-4.88281 18.1479 336.328 212.387 7.21392 20.6949 -39.9356
-4.875 18.2042 336.489 212.075 7.20373 20.5115 -40.0483
-4.86719 18.2605 336.648 211.762 7.19352 20.3281 -40.1608
-4.85938 18.3166 336.807 211.447 7.18328 20.1445 -40.2732
-4.85156 18.3727 336.963 211.132 7.17301 19.9608 -40.3855
-4.84375 18.4287 337.118 210.816 7.16271 19.777 -40.4976
-4.83594 18.4846 337.272 210.5 7.15239 19.5931 -40.6096
-4.82812 18.5405 337.425 210.182 7.14204 19.4091 -40.7215
-4.82031 18.5962 337.576 209.863 7.13166 19.225 -40.8333
-4.8125 18.6519 337.725 209.544 7.12125 19.0407 -40.945
-4.80469 18.7075 337.873 209.224 7.11081 18.8563 -41.0565
-4.79688 18.763 338.02 208.902 7.10034 18.6718 -41.1679
-4.78906 18.8184 338.165 208.58 7.08985 18.4872 -41.2792
-4.78125 18.8738 338.308 208.257 7.07932 18.3025 -41.3904
-4.77344 18.929 338.451 207.934 7.06877 18.1176 -41.5015
-4.76562 18.9842 338.592 207.609 7.05819 17.9326 -41.6124
-4.75781 19.0393 338.731 207.283 7.04759 17.7475 -41.7232
-4.75 19.0943 338.869 206.957 7.03695 17.5622 -41.8339
-4.74219 19.1493 339.005 206.63 7.02629 17.3768 -41.9445
-4.73438 19.2041 339.14 206.302 7.0156 17.1913 -42.055
-4.72656 19.2589 339.274 205.973 7.00488 17.0056 -42.1654
-4.71875 19.3136 339.406 205.643 6.99413 16.8198 -42.2756
-4.71094 19.3682 339.537 205.312 6.98336 16.6339 -42.3857
-4.70312 19.4227 339.666 204.98 6.97256 16.4478 -42.4957
-4.69531 19.4771 339.794 204.648 6.96173 16.2616 -42.6056
-4.6875 19.5315 339.92 204.315 6.95087 16.0753 -42.7154
-4.67969 19.5857 340.045 203.981 6.93999 15.8888 -42.8251
-4.67188 19.6399 340.168 203.646 6.92907 15.7022 -42.9346
-4.66406 19.694 340.29 203.31 6.91813 15.5154 -43.044
-4.65625 19.748 340.411 202.973 6.90717 15.3285 -43.1534
-4.64844 19.8019 340.53 202.635 6.89617 15.1414 -43.2626
-4.64062 19.8558 340.647 202.297 6.88515 14.9542 -43.3717
-4.63281 19.9095 340.763 201.958 6.8741 14.7668 -43.4806
-4.625 19.9632 340.878 201.618 6.86302 14.5793 -43.5895
-4.61719 20.0167 340.991 201.277 6.85192 14.3916 -43.6982
-4.60938 20.0702 341.103 200.935 6.84078 14.2038 -43.8069
-4.60156 20.1236 341.213 200.592 6.82962 14.0159 -43.9154
-4.59375 20.1769 341.322 200.249 6.81844 13.8277 -44.0238
-4.58594 20.2302 341.429 199.904 6.80722 13.6394 -44.1321
-4.57812 20.2833 341.535 199.559 6.79598 13.451 -44.2403
-4.57031 20.3364 341.639 199.213 6.78471 13.2624 -44.3484
-4.5625 20.3893 341.742 198.866 6.77341 13.0736 -44.4563
-4.55469 20.4422 341.844 198.518 6.76209 12.8847 -44.5642
-4.54688 20.495 341.944 198.17 6.75074 12.6956 -44.6719
-4.53906 20.5477 342.042 197.82 6.73936 12.5063 -44.7796
-4.53125 20.6003 342.139 197.47 6.72795 12.3169 -44.8871
-4.52344 20.6528 342.235 197.119 6.71652 12.1273 -44.9945
-4.51562 20.7052 342.329 196.767 6.70506 11.9375 -45.1018
-4.50781 20.7576 342.421 196.414 6.69357 11.7476 -45.209
-4.5 20.8098 342.512 196.061 6.68205 11.5575 -45.3161
-4.49219 20.862 342.602 195.706 6.67051 11.3672 -45.4231
-4.48438 20.914 342.69 195.351 6.65894 11.1767 -45.53
-4.47656 20.966 342.776 194.995 6.64734 10.9861 -45.6367
-4.46875 21.0179 342.861 194.638 6.63572 10.7953 -45.7434
-4.46094 21.0697 342.945 194.28 6.62407 10.6043 -45.8499
-4.45312 21.1214 343.027 193.922 6.61239 10.4131 -45.9563
-4.44531 21.173 343.108 193.562 6.60068 10.2218 -46.0627
-4.4375 21.2245 343.187 193.202 6.58894 10.0302 -46.1689
-4.42969 21.276 343.264 192.841 6.57718 9.83848 -46.275
-4.42188 21.3273 343.34 192.479 6.56539 9.64656 -46.381
-4.41406 21.3786 343.415 192.116 6.55358 9.45445 -46.4869
-4.40625 21.4297 343.488 191.752 6.54173 9.26215 -46.5927
-4.39844 21.4808 343.56 191.388 6.52986 9.06967 -46.6984
-4.39062 21.5317 343.63 191.023 6.51796 8.87698 -46.8039
-4.38281 21.5826 343.699 190.657 6.50604 8.68411 -46.9094
-4.375 21.6334 343.766 190.29 6.49408 8.49103 -47.0148
-4.36719 21.6841 343.831 189.922 6.4821 8.29776 -47.12
-4.35938 21.7347 343.895 189.554 6.47009 8.10429 -47.2252
-4.35156 21.7852 343.958 189.184 6.45806 7.91062 -47.3302
-4.34375 21.8356 344.019 188.814 6.446 7.71675 -47.4352
-4.33594 21.8859 344.078 188.443 6.4339 7.52267 -47.54
-4.32812 21.9361 344.136 188.071 6.42178 7.32838 -47.6447
-4.32031 21.9862 344.193 187.699 6.40964 7.13389 -47.7494
-4.3125 22.0363 344.248 187.325 6.39746 6.93919 -47.8539
-4.30469 22.0862 344.301 186.951 6.38526 6.74428 -47.9583
-4.29688 22.136 344.353 186.576 6.37303 6.54916 -48.0626
-4.28906 22.1858 344.404 186.2 6.36077 6.35383 -48.1668
-4.28125 22.2354 344.453 185.823 6.34849 6.15828 -48.2709
-4.27344 22.285 344.5 185.446 6.33618 5.96251 -48.3749
-4.26562 22.3344 344.546 185.067 6.32384 5.76653 -48.4788
-4.25781 22.3838 344.59 184.688 6.31147 5.57032 -48.5826
-4.25 22.433 344.633 184.308 6.29907 5.3739 -48.6863
-4.24219 22.4822 344.674 183.927 6.28664 5.17725 -48.7899
-4.23438 22.5313 344.714 183.546 6.27419 4.98038 -48.8933
-4.22656 22.5802 344.752 183.163 6.26171 4.78328 -48.9967
-4.21875 22.6291 344.788 182.78 6.2492 4.58595 -49.1
-4.21094 22.6779 344.823 182.396 6.23666 4.38839 -49.2031
-4.20312 22.7266 344.857 182.012 6.2241 4.1906 -49.3062
