# time[~Gyr] ax ay az[(km/s)^2/kpc]
-5 -0.10098 -0.977143 -0.291086
-4.99219 -0.101068 -0.97762 -0.290357
-4.98438 -0.101064 -0.977667 -0.289845
-4.97656 -0.101173 -0.978316 -0.289145
-4.96875 -0.10112 -0.978105 -0.288729
-4.96094 -0.100788 -0.976393 -0.288808
-4.95312 -0.100769 -0.976371 -0.288347
-4.94531 -0.100969 -0.977518 -0.287496
-4.9375 -0.101247 -0.979078 -0.286511
-4.92969 -0.101415 -0.980063 -0.285736
-4.92188 -0.101502 -0.980618 -0.285109
-4.91406 -0.10158 -0.981116 -0.284483
-4.90625 -0.101659 -0.981611 -0.283859
-4.89844 -0.101748 -0.982184 -0.283235
-4.89062 -0.101841 -0.98278 -0.282613
-4.88281 -0.10195 -0.983487 -0.281991
-4.875 -0.102017 -0.983902 -0.281374
-4.86719 -0.102082 -0.984302 -0.280758
-4.85938 -0.102196 -0.985048 -0.28014
-4.85156 -0.102293 -0.985667 -0.279524
-4.84375 -0.102379 -0.986214 -0.278912
-4.83594 -0.102468 -0.986782 -0.2783
-4.82812 -0.102564 -0.987393 -0.277689
-4.82031 -0.102666 -0.988049 -0.277079
-4.8125 -0.102772 -0.988736 -0.27647
-4.80469 -0.102877 -0.989411 -0.275863
-4.79688 -0.102981 -0.990081 -0.275256
-4.78906 -0.103088 -0.990773 -0.274652
-4.78125 -0.103198 -0.991482 -0.274048
-4.77344 -0.103309 -0.992196 -0.273445
-4.76562 -0.10342 -0.992916 -0.272844
-4.75781 -0.103533 -0.993646 -0.272244
-4.75 -0.103648 -0.994385 -0.271645
-4.74219 -0.103764 -0.995136 -0.271048
-4.73438 -0.103882 -0.995898 -0.270451
-4.72656 -0.104001 -0.99667 -0.269856
-4.71875 -0.104122 -0.997452 -0.269262
-4.71094 -0.104245 -0.998247 -0.268669
-4.70312 -0.104369 -0.999052 -0.268077
-4.69531 -0.104495 -0.999866 -0.267487
-4.6875 -0.104622 -1.00069 -0.266897
-4.67969 -0.104751 -1.00153 -0.266309
-4.67188 -0.104882 -1.00238 -0.265722
-4.66406 -0.105014 -1.00323 -0.265136
-4.65625 -0.105148 -1.0041 -0.264551
-4.64844 -0.105284 -1.00498 -0.263967
-4.64062 -0.105421 -1.00587 -0.263384
-4.63281 -0.10556 -1.00678 -0.262802
-4.625 -0.105701 -1.00769 -0.262221
-4.61719 -0.105844 -1.00862 -0.261641
-4.60938 -0.105988 -1.00955 -0.261062
-4.60156 -0.106133 -1.0105 -0.260485
-4.59375 -0.106281 -1.01146 -0.259908
-4.58594 -0.10643 -1.01243 -0.259332
-4.57812 -0.106581 -1.01341 -0.258757
-4.57031 -0.106734 -1.0144 -0.258184
-4.5625 -0.106888 -1.0154 -0.257611
-4.55469 -0.107044 -1.01642 -0.257039
-4.54688 -0.107202 -1.01745 -0.256468
-4.53906 -0.107361 -1.01848 -0.255898
-4.53125 -0.107522 -1.01953 -0.255329
-4.52344 -0.107685 -1.02059 -0.254761
-4.51562 -0.10785 -1.02167 -0.254194
-4.50781 -0.108017 -1.02275 -0.253627
-4.5 -0.108185 -1.02385 -0.253062
-4.49219 -0.108355 -1.02495 -0.252498
-4.48438 -0.108527 -1.02607 -0.251934
-4.47656 -0.108701 -1.0272 -0.251371
-4.46875 -0.108876 -1.02835 -0.250809
-4.46094 -0.109054 -1.0295 -0.250248
-4.45312 -0.109233 -1.03067 -0.249687
-4.44531 -0.109414 -1.03184 -0.249128
-4.4375 -0.109597 -1.03304 -0.248569
-4.42969 -0.109781 -1.03424 -0.248011
-4.42188 -0.109968 -1.03545 -0.247454
-4.41406 -0.110156 -1.03668 -0.246897
-4.40625 -0.110346 -1.03792 -0.246341
-4.39844 -0.110538 -1.03917 -0.245786
-4.39062 -0.110732 -1.04043 -0.245232
-4.38281 -0.110928 -1.04171 -0.244678
-4.375 -0.111126 -1.04299 -0.244126
-4.36719 -0.111326 -1.04429 -0.243573
-4.35938 -0.111527 -1.0456 -0.243022
-4.35156 -0.111731 -1.04693 -0.242471
-4.34375 -0.111936 -1.04827 -0.241921
-4.33594 -0.112143 -1.04962 -0.241371
-4.32812 -0.112353 -1.05098 -0.240822
-4.32031 -0.112564 -1.05235 -0.240273
-4.3125 -0.112777 -1.05374 -0.239725
-4.30469 -0.112992 -1.05514 -0.239178
-4.29688 -0.113209 -1.05655 -0.238631
-4.28906 -0.113428 -1.05798 -0.238085
-4.28125 -0.113649 -1.05942 -0.23754
-4.27344 -0.113872 -1.06087 -0.236994
-4.26562 -0.114097 -1.06233 -0.23645
-4.25781 -0.114325 -1.06381 -0.235906
-4.25 -0.114554 -1.0653 -0.235362
-4.24219 -0.114785 -1.0668 -0.234819
-4.23438 -0.115018 -1.06832 -0.234276
-4.22656 -0.115253 -1.06985 -0.233733
-4.21875 -0.115491 -1.07139 -0.233192
-4.21094 -0.11573 -1.07295 -0.23265
-4.20312 -0.115971 -1.07452 -0.232109
-4.19531 -0.116215 -1.0761 -0.231568
-4.1875 -0.116461 -1.0777 -0.231027
-4.17969 -0.116708 -1.07931 -0.230487
-4.17188 -0.116958 -1.08093 -0.229948
-4.16406 -0.11721 -1.08257 -0.229408
-4.15625 -0.117464 -1.08422 -0.228869
-4.14844 -0.117721 -1.08589 -0.22833
-4.14062 -0.117979 -1.08756 -0.227791
-4.13281 -0.11824 -1.08926 -0.227253
-4.125 -0.118503 -1.09096 -0.226714
-4.11719 -0.118768 -1.09268 -0.226176
-4.10938 -0.119035 -1.09442 -0.225638
-4.10156 -0.119304 -1.09616 -0.225101
-4.09375 -0.119576 -1.09793 -0.224563
-4.08594 -0.11985 -1.0997 -0.224026
-4.07812 -0.120126 -1.10149 -0.223488
-4.07031 -0.120404 -1.1033 -0.222951
-4.0625 -0.120685 -1.10512 -0.222414
-4.05469 -0.120967 -1.10695 -0.221877
-4.04688 -0.121253 -1.1088 -0.22134
-4.03906 -0.12154 -1.11066 -0.220803
-4.03125 -0.12183 -1.11254 -0.220266
-4.02344 -0.122122 -1.11443 -0.219729
-4.01562 -0.122416 -1.11634 -0.219192
-4.00781 -0.122713 -1.11826 -0.218654
-4 -0.123012 -1.1202 -0.218117
-3.99219 -0.123314 -1.12215 -0.21758
-3.98438 -0.123617 -1.12411 -0.217042
-3.97656 -0.123924 -1.12609 -0.216505
-3.96875 -0.124232 -1.12809 -0.215967
-3.96094 -0.124543 -1.1301 -0.215429
-3.95312 -0.124857 -1.13213 -0.214891
-3.94531 -0.125173 -1.13417 -0.214353
-3.9375 -0.125491 -1.13623 -0.213814
-3.92969 -0.125812 -1.1383 -0.213275
-3.92188 -0.126135 -1.14039 -0.212736
-3.91406 -0.126461 -1.14249 -0.212197
-3.90625 -0.126789 -1.14461 -0.211657
-3.89844 -0.12712 -1.14675 -0.211117
-3.89062 -0.127453 -1.1489 -0.210576
-3.88281 -0.127789 -1.15107 -0.210035
-3.875 -0.128127 -1.15325 -0.209494
-3.86719 -0.128468 -1.15545 -0.208952
-3.85938 -0.128812 -1.15767 -0.20841
-3.85156 -0.129158 -1.1599 -0.207867
-3.84375 -0.129507 -1.16215 -0.207324
-3.83594 -0.129858 -1.16441 -0.20678
-3.82812 -0.130212 -1.16669 -0.206235
-3.82031 -0.130569 -1.16899 -0.20569
-3.8125 -0.130928 -1.1713 -0.205145
-3.80469 -0.13129 -1.17363 -0.204598
-3.79688 -0.131655 -1.17598 -0.204051
-3.78906 -0.132023 -1.17835 -0.203504
-3.78125 -0.132393 -1.18073 -0.202955
-3.77344 -0.132766 -1.18313 -0.202406
-3.76562 -0.133141 -1.18554 -0.201856
-3.75781 -0.13352 -1.18797 -0.201306
-3.75 -0.133901 -1.19042 -0.200754
-3.74219 -0.134285 -1.19289 -0.200202
-3.73438 -0.134672 -1.19537 -0.199648
-3.72656 -0.135062 -1.19788 -0.199094
-3.71875 -0.135454 -1.2004 -0.198539
-3.71094 -0.13585 -1.20293 -0.197983
-3.70312 -0.136248 -1.20549 -0.197425
-3.69531 -0.136649 -1.20806 -0.196867
-3.6875 -0.137053 -1.21065 -0.196308
-3.67969 -0.13746 -1.21326 -0.195747
-3.67188 -0.13787 -1.21589 -0.195186
-3.66406 -0.138283 -1.21854 -0.194623
-3.65625 -0.138699 -1.2212 -0.194059
-3.64844 -0.139118 -1.22388 -0.193494
