# time boundmass
-11.00000 2.99929e+11
-10.93750 2.99929e+11
-10.87500 2.99929e+11
-10.81250 2.99929e+11
-10.75000 2.99929e+11
-10.68750 2.99929e+11
-10.62500 2.99929e+11
-10.56250 2.99928e+11
-10.50000 2.99928e+11
-10.43750 2.99927e+11
-10.37500 2.99924e+11
-10.31250 2.99916e+11
-10.25000 2.99904e+11
-10.18750 2.99878e+11
-10.12500 2.99841e+11
-10.06250 2.99784e+11
-10.00000 2.99709e+11
 -9.93750 2.99605e+11
 -9.87500 2.99463e+11
 -9.81250 2.99278e+11
 -9.75000 2.99053e+11
 -9.68750 2.98785e+11
 -9.62500 2.98461e+11
 -9.56250 2.98071e+11
 -9.50000 2.97608e+11
 -9.43750 2.97066e+11
 -9.37500 2.96469e+11
 -9.31250 2.95768e+11
 -9.25000 2.9498e+11
 -9.18750 2.94059e+11
 -9.12500 2.9304e+11
 -9.06250 2.91886e+11
 -9.00000 2.90539e+11
 -8.93750 2.88966e+11
 -8.87500 2.87091e+11
 -8.81250 2.84863e+11
 -8.75000 2.82232e+11
 -8.68750 2.79132e+11
 -8.62500 2.75482e+11
 -8.56250 2.71312e+11
 -8.50000 2.66544e+11
 -8.43750 2.61452e+11
 -8.37500 2.56059e+11
 -8.31250 2.50632e+11
 -8.25000 2.45318e+11
 -8.18750 2.40394e+11
 -8.12500 2.35915e+11
 -8.06250 2.32038e+11
 -8.00000 2.28837e+11
 -7.93750 2.26258e+11
 -7.87500 2.24248e+11
 -7.81250 2.2269e+11
 -7.75000 2.21495e+11
 -7.68750 2.20587e+11
 -7.62500 2.19862e+11
 -7.56250 2.19258e+11
 -7.50000 2.18775e+11
 -7.43750 2.18456e+11
 -7.37500 2.18143e+11
 -7.31250 2.17866e+11
 -7.25000 2.17604e+11
 -7.18750 2.17309e+11
 -7.12500 2.17073e+11
 -7.06250 2.16777e+11
 -7.00000 2.16482e+11
 -6.93750 2.16142e+11
 -6.87500 2.15787e+11
 -6.81250 2.15424e+11
 -6.75000 2.15042e+11
 -6.68750 2.14671e+11
 -6.62500 2.1427e+11
 -6.56250 2.13828e+11
 -6.50000 2.13362e+11
 -6.43750 2.1291e+11
 -6.37500 2.12428e+11
 -6.31250 2.11939e+11
 -6.25000 2.11429e+11
 -6.18750 2.10952e+11
 -6.12500 2.10499e+11
 -6.06250 2.10017e+11
 -6.00000 2.09553e+11
 -5.93750 2.09077e+11
 -5.87500 2.08582e+11
 -5.81250 2.0807e+11
 -5.75000 2.07581e+11
 -5.68750 2.07086e+11
 -5.62500 2.0663e+11
 -5.56250 2.0616e+11
 -5.50000 2.05684e+11
 -5.43750 2.05192e+11
 -5.37500 2.04728e+11
 -5.31250 2.0426e+11
 -5.25000 2.03803e+11
 -5.18750 2.03365e+11
 -5.12500 2.02912e+11
 -5.06250 2.02441e+11
 -5.00000 2.01971e+11
 -4.93750 2.01529e+11
 -4.87500 2.01088e+11
 -4.81250 2.00605e+11
 -4.75000 2.00132e+11
 -4.68750 1.99637e+11
 -4.62500 1.99171e+11
 -4.56250 1.98677e+11
 -4.50000 1.98213e+11
 -4.43750 1.97727e+11
 -4.37500 1.97237e+11
 -4.31250 1.96777e+11
 -4.25000 1.96281e+11
 -4.18750 1.95802e+11
 -4.12500 1.95326e+11
 -4.06250 1.94861e+11
 -4.00000 1.94376e+11
 -3.93750 1.93897e+11
 -3.87500 1.93418e+11
 -3.81250 1.92949e+11
 -3.75000 1.92481e+11
 -3.68750 1.92021e+11
 -3.62500 1.91554e+11
 -3.56250 1.9109e+11
 -3.50000 1.90647e+11
 -3.43750 1.90184e+11
 -3.37500 1.89722e+11
 -3.31250 1.8924e+11
 -3.25000 1.88765e+11
 -3.18750 1.88284e+11
 -3.12500 1.87826e+11
 -3.06250 1.87359e+11
 -3.00000 1.86876e+11
 -2.93750 1.86399e+11
 -2.87500 1.8592e+11
 -2.81250 1.85417e+11
 -2.75000 1.84903e+11
 -2.68750 1.84376e+11
 -2.62500 1.83826e+11
 -2.56250 1.83262e+11
 -2.50000 1.82674e+11
 -2.43750 1.82082e+11
 -2.37500 1.8146e+11
 -2.31250 1.8084e+11
 -2.25000 1.80212e+11
 -2.18750 1.79618e+11
 -2.12500 1.79e+11
 -2.06250 1.78409e+11
 -2.00000 1.77822e+11
 -1.93750 1.77223e+11
 -1.87500 1.76604e+11
 -1.81250 1.75978e+11
 -1.75000 1.7536e+11
 -1.68750 1.7473e+11
 -1.62500 1.74083e+11
 -1.56250 1.73405e+11
 -1.50000 1.7269e+11
 -1.43750 1.71916e+11
 -1.37500 1.71102e+11
 -1.31250 1.70213e+11
 -1.25000 1.69272e+11
 -1.18750 1.68253e+11
 -1.12500 1.67152e+11
 -1.06250 1.65972e+11
 -1.00000 1.64644e+11
 -0.93750 1.63216e+11
 -0.87500 1.61694e+11
 -0.81250 1.59958e+11
 -0.75000 1.58034e+11
 -0.68750 1.55902e+11
 -0.62500 1.53496e+11
 -0.56250 1.50807e+11
 -0.50000 1.47729e+11
 -0.43750 1.44189e+11
 -0.37500 1.40052e+11
 -0.31250 1.35208e+11
 -0.25000 1.294e+11
 -0.18750 1.22257e+11
 -0.12500 1.13679e+11
 -0.06250 1.04847e+11
  0.00000 9.8173e+10
