# time boundmass
-11.00000 2.99929e+11
-10.93750 2.99929e+11
-10.87500 2.99929e+11
-10.81250 2.99929e+11
-10.75000 2.99928e+11
-10.68750 2.99927e+11
-10.62500 2.99922e+11
-10.56250 2.99908e+11
-10.50000 2.99886e+11
-10.43750 2.99848e+11
-10.37500 2.99782e+11
-10.31250 2.99679e+11
-10.25000 2.99545e+11
-10.18750 2.99346e+11
-10.12500 2.99102e+11
-10.06250 2.98796e+11
-10.00000 2.98407e+11
 -9.93750 2.97948e+11
 -9.87500 2.97414e+11
 -9.81250 2.96762e+11
 -9.75000 2.96008e+11
 -9.68750 2.95155e+11
 -9.62500 2.94159e+11
 -9.56250 2.93065e+11
 -9.50000 2.91807e+11
 -9.43750 2.90375e+11
 -9.37500 2.88656e+11
 -9.31250 2.86649e+11
 -9.25000 2.84276e+11
 -9.18750 2.8153e+11
 -9.12500 2.78335e+11
 -9.06250 2.74751e+11
 -9.00000 2.7081e+11
 -8.93750 2.66583e+11
 -8.87500 2.62257e+11
 -8.81250 2.57948e+11
 -8.75000 2.53706e+11
 -8.68750 2.49743e+11
 -8.62500 2.46161e+11
 -8.56250 2.42963e+11
 -8.50000 2.40119e+11
 -8.43750 2.3765e+11
 -8.37500 2.35685e+11
 -8.31250 2.34025e+11
 -8.25000 2.3266e+11
 -8.18750 2.31549e+11
 -8.12500 2.30609e+11
 -8.06250 2.29815e+11
 -8.00000 2.29128e+11
 -7.93750 2.28533e+11
 -7.87500 2.27987e+11
 -7.81250 2.27514e+11
 -7.75000 2.27059e+11
 -7.68750 2.26615e+11
 -7.62500 2.26215e+11
 -7.56250 2.25758e+11
 -7.50000 2.25296e+11
 -7.43750 2.24864e+11
 -7.37500 2.2441e+11
 -7.31250 2.23953e+11
 -7.25000 2.23492e+11
 -7.18750 2.23016e+11
 -7.12500 2.22528e+11
 -7.06250 2.22063e+11
 -7.00000 2.21583e+11
 -6.93750 2.21091e+11
 -6.87500 2.20599e+11
 -6.81250 2.20083e+11
 -6.75000 2.19588e+11
 -6.68750 2.19074e+11
 -6.62500 2.18591e+11
 -6.56250 2.18086e+11
 -6.50000 2.17596e+11
 -6.43750 2.17067e+11
 -6.37500 2.16536e+11
 -6.31250 2.16051e+11
 -6.25000 2.15563e+11
 -6.18750 2.1506e+11
 -6.12500 2.14574e+11
 -6.06250 2.14098e+11
 -6.00000 2.13634e+11
 -5.93750 2.1316e+11
 -5.87500 2.12716e+11
 -5.81250 2.12256e+11
 -5.75000 2.11766e+11
 -5.68750 2.11303e+11
 -5.62500 2.10858e+11
 -5.56250 2.10436e+11
 -5.50000 2.09999e+11
 -5.43750 2.0956e+11
 -5.37500 2.09122e+11
 -5.31250 2.08692e+11
 -5.25000 2.08255e+11
 -5.18750 2.07797e+11
 -5.12500 2.07354e+11
 -5.06250 2.06898e+11
 -5.00000 2.06451e+11
 -4.93750 2.0601e+11
 -4.87500 2.05565e+11
 -4.81250 2.05126e+11
 -4.75000 2.04698e+11
 -4.68750 2.04274e+11
 -4.62500 2.03849e+11
 -4.56250 2.0342e+11
 -4.50000 2.02977e+11
 -4.43750 2.02543e+11
 -4.37500 2.02109e+11
 -4.31250 2.01678e+11
 -4.25000 2.01246e+11
 -4.18750 2.00797e+11
 -4.12500 2.0037e+11
 -4.06250 1.99942e+11
 -4.00000 1.99542e+11
 -3.93750 1.99122e+11
 -3.87500 1.9871e+11
 -3.81250 1.98289e+11
 -3.75000 1.97871e+11
 -3.68750 1.97443e+11
 -3.62500 1.97035e+11
 -3.56250 1.96606e+11
 -3.50000 1.96178e+11
 -3.43750 1.9574e+11
 -3.37500 1.95308e+11
 -3.31250 1.94885e+11
 -3.25000 1.94455e+11
 -3.18750 1.94006e+11
 -3.12500 1.93553e+11
 -3.06250 1.9311e+11
 -3.00000 1.9267e+11
 -2.93750 1.92224e+11
 -2.87500 1.91743e+11
 -2.81250 1.91298e+11
 -2.75000 1.90803e+11
 -2.68750 1.903e+11
 -2.62500 1.89815e+11
 -2.56250 1.89292e+11
 -2.50000 1.88767e+11
 -2.43750 1.88239e+11
 -2.37500 1.87687e+11
 -2.31250 1.87145e+11
 -2.25000 1.86605e+11
 -2.18750 1.86054e+11
 -2.12500 1.85498e+11
 -2.06250 1.84967e+11
 -2.00000 1.84442e+11
 -1.93750 1.83908e+11
 -1.87500 1.83344e+11
 -1.81250 1.82752e+11
 -1.75000 1.8217e+11
 -1.68750 1.8157e+11
 -1.62500 1.80938e+11
 -1.56250 1.8026e+11
 -1.50000 1.7952e+11
 -1.43750 1.78767e+11
 -1.37500 1.77928e+11
 -1.31250 1.77067e+11
 -1.25000 1.76089e+11
 -1.18750 1.75036e+11
 -1.12500 1.73922e+11
 -1.06250 1.727e+11
 -1.00000 1.71364e+11
 -0.93750 1.69892e+11
 -0.87500 1.68302e+11
 -0.81250 1.66567e+11
 -0.75000 1.6463e+11
 -0.68750 1.62519e+11
 -0.62500 1.60134e+11
 -0.56250 1.57395e+11
 -0.50000 1.54301e+11
 -0.43750 1.50848e+11
 -0.37500 1.46676e+11
 -0.31250 1.41732e+11
 -0.25000 1.35708e+11
 -0.18750 1.28278e+11
 -0.12500 1.19337e+11
 -0.06250 1.1015e+11
  0.00000 1.02846e+11
