#name   	short	ra	dec	mv	dist	e_dist	vlos	e_vlos	pmra	e_pmra	pmdec	e_pmdec	pmcor	
AntliaII	AntII	143.887	-36.767	-9	131.8	6.8	290.7	0.5	-0.1	0.01	0.09	0.01	0.2	
AquariusII	AqrII	338.481	-9.327	-4.36	107.9	3.3	-71.1	2.5	-0.03	0.21	-0.47	0.155	-0.22	
BootesI 	BooI	210.015	14.512	-6.3	66.0	3.0	102.2	0.8	-0.39	0.02	-1.06	0.01	-0.14	
BootesII	BooII	209.521	12.859	-2.3	42.0	1.6	-117.1	7.6	-2.46	0.07	-0.45	0.055	-0.17	
BootesIII	BooIII	209.3	26.8	-5.7	46.8	2.2	197.5	3.8	-1.16	0.02	-0.88	0.01	0.33	
BootesIV	BooIV	233.689	43.726	-4.5	208.9	20.2	nan	nan	0.03	0.395	0.4	0.84	0.12	
CanesVenaticiI	CVnI	202.016	33.559	-8.6	210.0	6.0	30.9	0.6	-0.1	0.03	-0.12	0.02	0.18	
CanesVenaticiII	CVnII	194.292	34.321	-4.6	160.0	7.0	-128.9	1.2	-0.12	0.105	-0.29	0.08	0.33	
Carina  	Car	100.407	-50.966	-8.6	105.6	5.4	222.9	0.1	0.53	0.01	0.13	0.01	-0.11	
CarinaII	CarII	114.107	-57.999	-4.5	37.4	0.4	477.2	1.2	1.88	0.01	0.13	0.015	0	
CarinaIII	CarIII	114.63	-57.9	-2.4	27.8	0.6	284.6	3.25	3.1	0.035	1.39	0.04	0.01	
CentaurusI	CenI	189.585	-40.902	-5.55	116.4	5.5	nan	nan	-0.13	0.05	-0.21	0.04	-0.01	
CetusII 	CetII	19.47	-17.42	0.3	29.9	2.9	nan	nan	2.85	0.05	0.47	0.06	0.13	
CetusIII	CetIII	31.331	-4.27	-2.45	251.2	18.0	nan	nan	0.47	0.83	-0.56	0.905	0.29	
ColumbaI	ColI	82.857	-28.043	-4.5	182.8	9.5	153.7	5	0.17	0.07	-0.41	0.08	-0.1	
ComaBerenices	CBe	186.746	23.908	-3.8	42.0	1.5	98.1	0.9	0.43	0.02	-1.72	0.02	-0.29	
CraterII	CraII	177.31	-18.413	-8.2	117.5	1.1	87.5	0.4	-0.07	0.02	-0.11	0.01	-0.05	
Delve1  	Del1	247.725	-0.972	-0.2	19.0	0.9	nan	nan	0.04	0.07	-1.54	0.05	-0.13	
Delve2  	Del2	28.772	-68.253	-2.1	71.1	3.4	nan	nan	0.92	0.115	-0.97	0.085	0.23	
Draco   	Dra	260.06	57.965	-8.75	76.0	6.0	-291	0.1	0.04	0.01	-0.19	0.01	0.23	
DracoII 	DraII	238.198	64.565	-2.9	20.0	3.0	-347.6	1.75	1.12	0.09	0.91	0.1	-0.02	
EridanusII	EriII	56.084	-43.534	-7.2	363.1	17.1	75.6	3.3	0.15	0.11	0.03	0.135	-0.15	
EridanusIII	EriIII	35.69	-52.284	-2.3	91.2	1.7	nan	nan	1.39	0.13	-0.64	0.14	-0.28	
Fornax  	Fnx	39.962	-34.511	-13.4	147.0	9.0	55.3	0.1	0.38	0.001	-0.36	0.002	-0.43	
GrusI   	GruI	344.176	-50.163	-3.4	120.2	11.1	-140.5	2	0.07	0.05	-0.27	0.075	0.04	
GrusII  	GruII	331.025	-46.442	-3.9	55.0	2.0	-110	0.5	0.39	0.035	-1.51	0.04	0.3	
Hercules	Her	247.763	12.787	-6.6	132.0	6.0	45.2	1.09	-0.04	0.045	-0.34	0.04	0.55	
HorologiumI	HorI	43.882	-54.119	-3.5	79.0	7.0	112.8	2.55	0.85	0.035	-0.6	0.04	0.03	
HorologiumII	HorII	49.108	-50.049	-1.5	78.0	7.5	168.7	12.9	0.98	0.185	-0.84	0.22	0.04	
HydraII 	HyaII	185.425	-31.985	-4.8	151.0	8.0	303.1	1.4	-0.37	0.14	-0.03	0.1	0.04	
HydrusI 	HyiI	37.389	-79.309	-4.71	27.6	0.5	80.4	0.6	3.79	0.01	-1.5	0.01	0.01	
Indus1  	IndI	317.208	-51.164	-1.5	105.0	5.0	nan	nan	nan	nan	nan	nan	nan	
LeoI    	LeoI	152.122	12.313	-12.03	258.2	9.5	282.5	0.1	-0.06	0.01	-0.12	0.01	-0.46	
LeoII   	LeoII	168.37	22.152	-9.6	233.0	15.0	78.5	0.6	-0.11	0.03	-0.14	0.03	-0.3	
LeoIV   	LeoIV	173.233	-0.54	-4.97	154.0	5.0	132.3	1.4	-0.03	0.14	-0.28	0.115	-0.19	
LeoV    	LeoV	172.784	2.222	-4.4	173.0	5.0	172.1	2.2	0.1	0.21	-0.41	0.15	-0.13	
#LeoT    	LeoT	143.729	17.048	-7.6	417.0	30.0	38.1	2	nan	nan	nan	nan	nan	
#LMC     	LMC	81.28	-69.78	-18.1	49.6	1.0	262.2	3.4	1.86	0.02	0.38	0.02	0	
PegasusIII	PegIII	336.102	5.405	-4	214.8	12.2	-222.9	2.6	nan	nan	nan	nan	nan	
Phoenix 	Phe	27.776	-44.445	-9.86	409.3	23.3	-21.2	1	0.08	0.03	-0.06	0.04	-0.14	
PhoenixII	PheII	354.993	-54.405	-3.3	83.2	8.0	32.4	3.8	0.5	0.05	-1.2	0.06	-0.45	
PictorI 	PicI	70.949	-50.285	-3.4	114.8	11.1	nan	nan	0.15	0.08	0.08	0.12	-0.2	
PictorII	PicII	101.18	-59.897	-4.2	45.7	2.6	nan	nan	1.15	0.06	1.14	0.055	-0.05	
PiscesII	PscII	344.634	5.955	-4.1	183.0	15.0	-226.5	2.7	0.71	0.42	-0.61	0.27	0.242	
ReticulumII	RetII	53.949	-54.047	-3.6	31.4	1.4	64.8	0.5	2.37	0.02	-1.35	0.02	-0.13	
ReticulumIII	RetIII	56.36	-60.45	-3.3	91.6	14.1	274.2	7.5	0.31	0.14	-0.61	0.26	0.07	
Sagittarius	Sgr	283.831	-30.545	-13.5	26.0	2.0	140	2	-2.68	0.025	-1.38	0.025	0	
SagittariusII	SgrII	298.165	-22.065	-5.4	69.2	6.7	-177.2	0.6	-0.77	0.04	-0.91	0.02	-0.02	
Sculptor	Scl	15.039	-33.709	-10.7	83.9	1.5	111.4	0.1	0.10	0.002	-0.16	0.002	-0.4	
Segue1  	Seg1	151.763	16.074	-1.5	23.0	2.0	208.5	0.9	-2.06	0.05	-3.42	0.045	-0.44	
Segue2  	Seg2	34.817	20.175	-2.5	36.6	2.5	-40.2	0.9	1.43	0.055	-0.31	0.045	0.26	
Sextans 	Sxt	153.268	-1.62	-9.3	92.5	2.2	224.2	0.1	-0.4	0.01	0.02	0.01	-0.37	
SMC     	SMC	13.187	-72.829	-16.8	64.0	4.0	145.6	0.6	0.67	0.02	-1.24	0.02	0	
TriangulumII	TriII	33.322	36.172	-1.2	28.4	1.6	-381.7	1.1	0.58	0.05	0.08	0.06	0.33	
TucanaII	TucII	343.06	-58.57	-3.9	57.5	5.3	-129.1	3.5	0.91	0.02	-1.27	0.03	-0.24	
TucanaIII	TucIII	359.15	-59.6	-2.4	25.0	2.0	-102.3	0.4	-0.08	0.02	-1.62	0.02	-0.24	
TucanaIV	TucIV	0.717	-60.83	-3.5	47.0	4.1	15.9	1.8	0.56	0.045	-1.69	0.05	-0.08	
TucanaV 	TucV	354.347	-63.266	-1.6	55.0	3.9	-36.2	2.5	-0.14	0.045	-1.18	0.055	0.22	
UrsaMajorI	UMaI	158.685	51.926	-6.75	97.3	5.9	-55.3	1.4	-0.4	0.03	-0.63	0.04	-0.03	
UrsaMajorII	UMaII	132.874	63.133	-3.9	34.7	2.1	-116.5	1.9	1.73	0.02	-1.9	0.02	0.09	
UrsaMinor	UMi	227.242	67.222	-8.4	76.0	4.0	-246.9	0.1	-0.12	0.004	0.07	0.005	-0.08	
Virgo1  	VirI	180.038	0.681	-0.8	91	6.5	nan	nan	nan	nan	nan	nan	nan	
Willman1	Wil1	162.341	51.053	-2.7	38.0	7.0	-12.8	1	0.28	0.065	-1.11	0.075	-0.13	
