# name         	particl	GMM	rewind	mean	scatter	pmra	e_pmra	pmdec	e_pmdec	vlos	e_vlos
AntliaII       	  0.010	  0.017	  0.005	  0.010	  0.005	 -0.089	  0.048	  0.081	  0.049  289.6   10.0
AquariusII     	  0.000	  0.000	  0.001	  0.000	  0.000	  0.077	  0.141	 -0.469	  0.121  -71.9    9.9
BootesI        	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.392	  0.050	 -1.052	  0.050  101.5   10.0
BootesII       	  0.000	  0.000	  0.000	  0.000	  0.000	 -2.444	  0.070	 -0.453	  0.055 -116.2   10.0
BootesIII      	  0.000	  0.000	  0.000	  0.000	  0.000	 -1.157	  0.050	 -0.880	  0.050  195.8   10.0
BootesIV       	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.214	  0.076	 -0.114	  0.075 -121.3   75.4
CanesVenaticiI 	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.127	  0.040	 -0.143	  0.040   30.7    9.9
CanesVenaticiII	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.173	  0.073	 -0.288	  0.063 -126.8    9.9
Carina         	  0.541	  0.522	  0.527	  0.530	  0.008	  0.529	  0.050	  0.135	  0.049  224.4   10.2
CarinaII       	  0.989	  0.992	  0.967	  0.982	  0.011	  1.878	  0.056	  0.134	  0.056  477.0    9.9
CarinaIII      	  0.986	  0.986	  0.988	  0.987	  0.001	  3.083	  0.075	  1.388	  0.075  285.8    9.9
CentaurusI     	  0.009	  0.007	  0.005	  0.007	  0.002	 -0.140	  0.048	 -0.198	  0.049  188.3   83.1
CetusII        	  0.000	  0.000	  0.000	  0.000	  0.000	  2.842	  0.070	  0.457	  0.070  -37.6  122.9
CetusIII       	  0.003	  0.000	  0.000	  0.001	  0.001	  0.163	  0.057	 -0.144	  0.060  -88.6   58.6
ColumbaI       	  0.000	  0.000	  0.000	  0.000	  0.000	  0.183	  0.053	 -0.282	  0.060  153.7    9.9
ComaBerenices  	  0.000	  0.000	  0.000	  0.000	  0.000	  0.423	  0.050	 -1.716	  0.050   97.7   10.0
CraterII       	  0.056	  0.711	  0.036	  0.268	  0.314	 -0.113	  0.037	 -0.087	  0.040   85.8    9.2
Delve1         	  0.000	  0.000	  0.000	  0.000	  0.000	  0.031	  0.111	 -1.542	  0.111  -63.5  139.5
Delve2         	  0.959	  0.929	  0.940	  0.943	  0.012	  0.970	  0.108	 -0.961	  0.081  171.1   80.7
Draco          	  0.000	  0.000	  0.000	  0.000	  0.000	  0.020	  0.049	 -0.183	  0.049 -289.8   10.0
DracoII        	  0.005	  0.000	  0.036	  0.014	  0.016	  1.098	  0.105	  0.902	  0.105 -346.2   10.0
EridanusII     	  0.000	  0.000	  0.000	  0.000	  0.000	  0.140	  0.034	 -0.067	  0.032   76.8    9.7
EridanusIII    	  0.985	  0.975	  0.980	  0.980	  0.004	  1.295	  0.121	 -0.655	  0.118  154.8   67.0
Fornax         	  0.182	  0.169	  0.116	  0.156	  0.028	  0.378	  0.048	 -0.362	  0.048   55.0    9.9
GrusI          	  0.000	  0.000	  0.001	  0.000	  0.000	  0.076	  0.048	 -0.300	  0.068 -139.0    9.9
GrusII         	  0.454	  0.301	  0.221	  0.325	  0.097	  0.388	  0.050	 -1.512	  0.051 -109.8   10.0
Hercules       	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.065	  0.047	 -0.329	  0.049   43.4    9.9
HorologiumI    	  0.982	  0.943	  0.940	  0.955	  0.019	  0.865	  0.049	 -0.600	  0.049  113.8    9.9
HorologiumII   	  0.979	  0.939	  0.968	  0.962	  0.017	  1.066	  0.150	 -0.717	  0.163  169.2   12.7
HydraII        	  0.451	  0.441	  0.406	  0.433	  0.019	 -0.216	  0.099	 -0.027	  0.071  302.5    9.9
