# name         	particl	GMM	rewind	mean	scatter	pmra	e_pmra	pmdec	e_pmdec	vlos	e_vlos
AntliaII       	  0.021	  0.034	  0.020	  0.025	  0.007	 -0.091	  0.049	  0.079	  0.048  290.0   10.0
AquariusII     	  0.067	  0.121	  0.062	  0.084	  0.027	  0.091	  0.135	 -0.482	  0.117  -71.8    9.9
BootesI        	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.392	  0.049	 -1.051	  0.050  101.4   10.0
BootesII       	  0.000	  0.000	  0.000	  0.000	  0.000	 -2.441	  0.070	 -0.453	  0.055 -116.3   10.0
BootesIII      	  0.002	  0.000	  0.000	  0.001	  0.001	 -1.156	  0.050	 -0.880	  0.050  195.5   10.0
BootesIV       	  0.043	  0.037	  0.056	  0.045	  0.008	 -0.172	  0.072	 -0.112	  0.071 -112.1   75.7
CanesVenaticiI 	  0.359	  0.230	  0.386	  0.325	  0.068	 -0.117	  0.035	 -0.129	  0.035   30.0    9.9
CanesVenaticiII	  0.304	  0.306	  0.343	  0.318	  0.018	 -0.164	  0.077	 -0.273	  0.063 -126.2    9.9
Carina         	  0.713	  0.644	  0.656	  0.671	  0.030	  0.510	  0.048	  0.124	  0.047  222.5   10.0
CarinaII       	  0.968	  0.980	  0.916	  0.955	  0.028	  1.880	  0.056	  0.138	  0.056  477.1    9.9
CarinaIII      	  0.998	  0.989	  0.987	  0.991	  0.005	  3.079	  0.075	  1.389	  0.075  285.9    9.9
CentaurusI     	  0.009	  0.010	  0.002	  0.007	  0.003	 -0.140	  0.048	 -0.201	  0.049  196.3   87.7
CetusII        	  0.000	  0.000	  0.000	  0.000	  0.000	  2.840	  0.070	  0.459	  0.070  -66.6  115.0
CetusIII       	  0.003	  0.000	  0.000	  0.001	  0.001	  0.176	  0.062	 -0.138	  0.059  -77.8   63.4
ColumbaI       	  0.000	  0.000	  0.000	  0.000	  0.000	  0.181	  0.056	 -0.285	  0.059  153.9    9.9
ComaBerenices  	  0.000	  0.000	  0.000	  0.000	  0.000	  0.424	  0.050	 -1.716	  0.050   97.6   10.0
CraterII       	  0.080	  0.404	  0.058	  0.180	  0.158	 -0.085	  0.045	 -0.099	  0.046   88.5    9.9
Delve1         	  0.000	  0.000	  0.001	  0.000	  0.001	  0.033	  0.111	 -1.542	  0.111  -59.8  136.4
Delve2         	  0.938	  0.876	  0.922	  0.912	  0.026	  0.964	  0.110	 -0.956	  0.081  164.5   89.5
Draco          	  0.478	  0.427	  0.480	  0.462	  0.025	  0.022	  0.047	 -0.184	  0.049 -289.8    9.9
DracoII        	  0.044	  0.036	  0.042	  0.041	  0.004	  1.100	  0.105	  0.902	  0.105 -346.4   10.0
EridanusII     	  0.000	  0.000	  0.000	  0.000	  0.000	  0.141	  0.032	 -0.067	  0.029   77.8    9.6
EridanusIII    	  0.965	  0.901	  0.969	  0.945	  0.031	  1.258	  0.108	 -0.660	  0.113  151.5   65.2
Fornax         	  0.393	  0.320	  0.450	  0.388	  0.053	  0.369	  0.046	 -0.341	  0.046   55.2    9.9
GrusI          	  0.048	  0.090	  0.026	  0.055	  0.026	  0.076	  0.048	 -0.310	  0.067 -138.7    9.9
GrusII         	  0.256	  0.249	  0.112	  0.206	  0.066	  0.387	  0.050	 -1.510	  0.051 -109.6   10.0
Hercules       	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.066	  0.045	 -0.324	  0.047   43.4    9.9
HorologiumI    	  0.950	  0.873	  0.871	  0.898	  0.037	  0.859	  0.050	 -0.598	  0.049  113.8    9.9
HorologiumII   	  0.949	  0.887	  0.949	  0.928	  0.029	  1.061	  0.160	 -0.697	  0.158  169.1   12.7
HydraII        	  0.316	  0.240	  0.252	  0.269	  0.033	 -0.244	  0.099	 -0.041	  0.077  302.1    9.9
HydrusI        	  0.973	  0.928	  0.955	  0.952	  0.018	  3.781	  0.076	 -1.501	  0.076   81.7    9.9
Indus1         	  0.181	  0.187	  0.162	  0.176	  0.011	 -0.007	  0.181	 -0.733	  0.290   29.5   91.6
LeoI           	  0.051	  0.096	  0.067	  0.071	  0.019	 -0.044	  0.035	 -0.134	  0.033  279.9    9.9
LeoII          	  0.406	  0.432	  0.412	  0.417	  0.011	 -0.075	  0.034	 -0.145	  0.033   78.1    9.7
LeoIV          	  0.021	  0.065	  0.015	  0.034	  0.022	 -0.087	  0.088	 -0.237	  0.088  132.6    9.9
LeoV           	  0.025	  0.017	  0.018	  0.020	  0.003	 -0.078	  0.093	 -0.274	  0.090  171.9    9.9
PegasusIII     	  0.142	  0.151	  0.143	  0.145	  0.004	  0.091	  0.074	 -0.214	  0.094 -223.3   10.0
Phoenix        	  0.000	  0.000	  0.000	  0.000	  0.000	  0.109	  0.019	 -0.097	  0.020  -16.4    9.6
PhoenixII      	  0.930	  0.867	  0.946	  0.914	  0.034	  0.507	  0.048	 -1.198	  0.058   32.1    9.9
PictorI        	  0.013	  0.023	  0.021	  0.019	  0.004	  0.182	  0.071	  0.023	  0.096  149.8   81.1
PictorII       	  0.996	  0.990	  0.992	  0.993	  0.002	  1.159	  0.059	  1.130	  0.054  325.0   70.9
PiscesII       	  0.321	  0.297	  0.317	  0.312	  0.011	  0.198	  0.088	 -0.330	  0.110 -226.7   10.0
ReticulumII    	  0.780	  0.748	  0.727	  0.752	  0.022	  2.379	  0.067	 -1.344	  0.067   65.7    9.9
ReticulumIII   	  0.104	  0.182	  0.071	  0.119	  0.047	  0.351	  0.134	 -0.403	  0.200  272.8   10.0
Sagittarius    	  0.000	  0.000	  0.000	  0.000	  0.000	 -2.671	  0.081	 -1.383	  0.081  139.0   10.0
SagittariusII  	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.763	  0.050	 -0.911	  0.050 -176.3    9.9
Sculptor       	  0.018	  0.013	  0.000	  0.010	  0.008	  0.109	  0.049	 -0.171	  0.049  110.0    9.9
Segue1         	  0.000	  0.000	  0.000	  0.000	  0.000	 -2.051	  0.091	 -3.416	  0.092  207.7   10.0
Segue2         	  0.000	  0.000	  0.000	  0.000	  0.000	  1.429	  0.058	 -0.315	  0.057  -40.3   10.0
Sextans        	  0.001	  0.000	  0.000	  0.000	  0.001	 -0.387	  0.049	  0.003	  0.049  223.7    9.9
SMC            	  0.960	  0.861	  0.934	  0.918	  0.042	  0.683	  0.050	 -1.238	  0.049  145.3    9.9
TriangulumII   	  0.015	  0.000	  0.000	  0.005	  0.007	  0.584	  0.074	  0.075	  0.074 -380.1   10.0
TucanaII       	  0.235	  0.189	  0.049	  0.157	  0.079	  0.901	  0.050	 -1.267	  0.050 -127.7   10.0
TucanaIII      	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.075	  0.084	 -1.622	  0.084 -101.0   10.0
TucanaIV       	  0.234	  0.116	  0.098	  0.149	  0.060	  0.562	  0.050	 -1.689	  0.050   16.7   10.0
TucanaV        	  0.000	  0.002	  0.000	  0.001	  0.001	 -0.134	  0.050	 -1.175	  0.055  -35.4   10.0
UrsaMajorI     	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.389	  0.048	 -0.626	  0.049  -54.9    9.9
UrsaMajorII    	  0.000	  0.000	  0.000	  0.000	  0.000	  1.718	  0.061	 -1.894	  0.061 -116.6   10.0
UrsaMinor      	  0.442	  0.452	  0.491	  0.461	  0.021	 -0.134	  0.046	  0.060	  0.049 -245.9    9.9
Virgo1         	  0.093	  0.092	  0.048	  0.078	  0.021	 -0.265	  0.236	 -0.362	  0.249  137.2   95.3
Willman1       	  0.000	  0.003	  0.000	  0.001	  0.001	  0.273	  0.065	 -1.112	  0.075  -12.9   10.0
