# name         	particl	GMM	rewind	mean	scatter	pmra	e_pmra	pmdec	e_pmdec	vlos	e_vlos
AntliaII       	  0.011	  0.014	  0.018	  0.014	  0.003	 -0.067	  0.046	  0.060	  0.047  289.9    9.9
AquariusII     	  0.079	  0.075	  0.070	  0.075	  0.004	  0.094	  0.118	 -0.437	  0.108  -71.2    9.9
BootesI        	  0.000	  0.001	  0.000	  0.000	  0.001	 -0.393	  0.050	 -1.049	  0.050  101.5   10.0
BootesII       	  0.000	  0.003	  0.000	  0.001	  0.001	 -2.442	  0.070	 -0.454	  0.055 -116.0   10.0
BootesIII      	  0.000	  0.003	  0.000	  0.001	  0.001	 -1.145	  0.050	 -0.868	  0.049  196.0   10.0
BootesIV       	  0.109	  0.102	  0.179	  0.130	  0.035	 -0.183	  0.058	 -0.106	  0.052  -84.4   87.3
CanesVenaticiI 	  0.284	  0.181	  0.207	  0.224	  0.044	 -0.128	  0.039	 -0.138	  0.038   30.6   10.1
CanesVenaticiII	  0.303	  0.286	  0.289	  0.293	  0.007	 -0.177	  0.061	 -0.282	  0.055 -126.4    9.9
Carina         	  0.608	  0.722	  0.656	  0.662	  0.047	  0.529	  0.049	  0.126	  0.048  223.3   10.0
CarinaII       	  0.992	  0.990	  0.952	  0.978	  0.018	  1.879	  0.056	  0.136	  0.056  476.9    9.9
CarinaIII      	  0.999	  0.998	  0.994	  0.997	  0.002	  3.084	  0.076	  1.389	  0.075  285.9    9.9
CentaurusI     	  0.008	  0.027	  0.012	  0.016	  0.008	 -0.149	  0.047	 -0.183	  0.050  201.7   92.1
CetusII        	  0.002	  0.000	  0.000	  0.001	  0.001	  2.841	  0.070	  0.459	  0.070  -46.0  130.6
CetusIII       	  0.043	  0.023	  0.000	  0.022	  0.018	  0.181	  0.053	 -0.187	  0.069  -90.5   56.9
ColumbaI       	  0.093	  0.017	  0.015	  0.042	  0.037	  0.193	  0.056	 -0.275	  0.067  153.9    9.9
ComaBerenices  	  0.000	  0.002	  0.000	  0.001	  0.001	  0.423	  0.050	 -1.715	  0.050   97.5   10.0
CraterII       	  0.022	  0.226	  0.028	  0.092	  0.095	 -0.096	  0.046	 -0.112	  0.046   88.3    9.9
Delve1         	  0.000	  0.000	  0.000	  0.000	  0.000	  0.032	  0.111	 -1.541	  0.111  -71.4  158.7
