# time boundmass
 -4.00000 1.99956e+11
 -3.93750 1.99956e+11
 -3.87500 1.99956e+11
 -3.81250 1.99956e+11
 -3.75000 1.99956e+11
 -3.68750 1.99954e+11
 -3.62500 1.99951e+11
 -3.56250 1.99945e+11
 -3.50000 1.99935e+11
 -3.43750 1.99921e+11
 -3.37500 1.999e+11
 -3.31250 1.99868e+11
 -3.25000 1.99828e+11
 -3.18750 1.99778e+11
 -3.12500 1.99716e+11
 -3.06250 1.99645e+11
 -3.00000 1.99563e+11
 -2.93750 1.99467e+11
 -2.87500 1.99366e+11
 -2.81250 1.99248e+11
 -2.75000 1.99111e+11
 -2.68750 1.98966e+11
 -2.62500 1.98811e+11
 -2.56250 1.98656e+11
 -2.50000 1.98481e+11
 -2.43750 1.983e+11
 -2.37500 1.98108e+11
 -2.31250 1.97909e+11
 -2.25000 1.977e+11
 -2.18750 1.97477e+11
 -2.12500 1.97246e+11
 -2.06250 1.97006e+11
 -2.00000 1.96751e+11
 -1.93750 1.96477e+11
 -1.87500 1.96186e+11
 -1.81250 1.9589e+11
 -1.75000 1.95567e+11
 -1.68750 1.95216e+11
 -1.62500 1.94839e+11
 -1.56250 1.9443e+11
 -1.50000 1.93982e+11
 -1.43750 1.93493e+11
 -1.37500 1.92947e+11
 -1.31250 1.92344e+11
 -1.25000 1.91661e+11
 -1.18750 1.90915e+11
 -1.12500 1.90058e+11
 -1.06250 1.89082e+11
 -1.00000 1.88006e+11
 -0.93750 1.8678e+11
 -0.87500 1.8537e+11
 -0.81250 1.83708e+11
 -0.75000 1.81757e+11
 -0.68750 1.79399e+11
 -0.62500 1.76552e+11
 -0.56250 1.7296e+11
 -0.50000 1.68433e+11
 -0.43750 1.62781e+11
 -0.37500 1.55673e+11
 -0.31250 1.47075e+11
 -0.25000 1.36656e+11
 -0.18750 1.24495e+11
 -0.12500 1.1149e+11
 -0.06250 1.00123e+11
  0.00000 9.24363e+10
