# time boundmass
-10.00000 2.99929e+11
 -9.93750 2.99929e+11
 -9.87500 2.99929e+11
 -9.81250 2.99929e+11
 -9.75000 2.99929e+11
 -9.68750 2.99929e+11
 -9.62500 2.99929e+11
 -9.56250 2.99929e+11
 -9.50000 2.99929e+11
 -9.43750 2.99929e+11
 -9.37500 2.99929e+11
 -9.31250 2.99929e+11
 -9.25000 2.99929e+11
 -9.18750 2.99928e+11
 -9.12500 2.99927e+11
 -9.06250 2.99925e+11
 -9.00000 2.99921e+11
 -8.93750 2.99915e+11
 -8.87500 2.99904e+11
 -8.81250 2.99889e+11
 -8.75000 2.99866e+11
 -8.68750 2.99832e+11
 -8.62500 2.99786e+11
 -8.56250 2.9973e+11
 -8.50000 2.99658e+11
 -8.43750 2.99561e+11
 -8.37500 2.99445e+11
 -8.31250 2.993e+11
 -8.25000 2.99128e+11
 -8.18750 2.9893e+11
 -8.12500 2.98703e+11
 -8.06250 2.98431e+11
 -8.00000 2.98124e+11
 -7.93750 2.97777e+11
 -7.87500 2.97386e+11
 -7.81250 2.9694e+11
 -7.75000 2.96441e+11
 -7.68750 2.95896e+11
 -7.62500 2.95291e+11
 -7.56250 2.94614e+11
 -7.50000 2.93851e+11
 -7.43750 2.93004e+11
 -7.37500 2.92048e+11
 -7.31250 2.90927e+11
 -7.25000 2.8966e+11
 -7.18750 2.88244e+11
 -7.12500 2.86536e+11
 -7.06250 2.84522e+11
 -7.00000 2.82168e+11
 -6.93750 2.79445e+11
 -6.87500 2.76254e+11
 -6.81250 2.72494e+11
 -6.75000 2.6818e+11
 -6.68750 2.63275e+11
 -6.62500 2.57706e+11
 -6.56250 2.51741e+11
 -6.50000 2.45561e+11
 -6.43750 2.3941e+11
 -6.37500 2.33591e+11
 -6.31250 2.28284e+11
 -6.25000 2.23417e+11
 -6.18750 2.19292e+11
 -6.12500 2.15975e+11
 -6.06250 2.13361e+11
 -6.00000 2.1147e+11
 -5.93750 2.10083e+11
 -5.87500 2.09069e+11
 -5.81250 2.08294e+11
 -5.75000 2.07743e+11
 -5.68750 2.07322e+11
 -5.62500 2.06983e+11
 -5.56250 2.06724e+11
 -5.50000 2.06451e+11
 -5.43750 2.06181e+11
 -5.37500 2.05922e+11
 -5.31250 2.05675e+11
 -5.25000 2.05383e+11
 -5.18750 2.05079e+11
 -5.12500 2.04741e+11
 -5.06250 2.04405e+11
 -5.00000 2.04059e+11
 -4.93750 2.0366e+11
 -4.87500 2.03242e+11
 -4.81250 2.0278e+11
 -4.75000 2.02329e+11
 -4.68750 2.01849e+11
 -4.62500 2.01337e+11
 -4.56250 2.00825e+11
 -4.50000 2.00293e+11
 -4.43750 1.99763e+11
 -4.37500 1.9923e+11
 -4.31250 1.98621e+11
 -4.25000 1.98057e+11
 -4.18750 1.97475e+11
 -4.12500 1.96874e+11
 -4.06250 1.96221e+11
 -4.00000 1.95587e+11
 -3.93750 1.94964e+11
 -3.87500 1.94362e+11
 -3.81250 1.93725e+11
 -3.75000 1.93071e+11
 -3.68750 1.92412e+11
 -3.62500 1.91744e+11
 -3.56250 1.9105e+11
 -3.50000 1.9035e+11
 -3.43750 1.89651e+11
 -3.37500 1.88935e+11
 -3.31250 1.88227e+11
 -3.25000 1.87509e+11
 -3.18750 1.86789e+11
 -3.12500 1.86044e+11
 -3.06250 1.85314e+11
 -3.00000 1.84594e+11
 -2.93750 1.8389e+11
 -2.87500 1.83173e+11
 -2.81250 1.82451e+11
 -2.75000 1.81716e+11
 -2.68750 1.80964e+11
 -2.62500 1.80225e+11
 -2.56250 1.79463e+11
 -2.50000 1.78689e+11
 -2.43750 1.77938e+11
 -2.37500 1.77143e+11
 -2.31250 1.76344e+11
 -2.25000 1.75499e+11
 -2.18750 1.74666e+11
 -2.12500 1.73774e+11
 -2.06250 1.72886e+11
 -2.00000 1.71928e+11
 -1.93750 1.70946e+11
 -1.87500 1.69961e+11
 -1.81250 1.68969e+11
 -1.75000 1.67969e+11
 -1.68750 1.66988e+11
 -1.62500 1.65992e+11
 -1.56250 1.65002e+11
 -1.50000 1.64011e+11
 -1.43750 1.63022e+11
 -1.37500 1.62021e+11
 -1.31250 1.60965e+11
 -1.25000 1.59907e+11
 -1.18750 1.5879e+11
 -1.12500 1.57651e+11
 -1.06250 1.56387e+11
 -1.00000 1.54998e+11
 -0.93750 1.53521e+11
 -0.87500 1.51866e+11
 -0.81250 1.50033e+11
 -0.75000 1.48045e+11
 -0.68750 1.45796e+11
 -0.62500 1.43319e+11
 -0.56250 1.40546e+11
 -0.50000 1.37352e+11
 -0.43750 1.33711e+11
 -0.37500 1.29477e+11
 -0.31250 1.24641e+11
 -0.25000 1.18998e+11
 -0.18750 1.12434e+11
 -0.12500 1.0483e+11
 -0.06250 9.70973e+10
  0.00000 9.11238e+10
